VNUM	LOCALE_NAME
20027	Gillian
20028	Mirinenin Erkek Kardeþi
20029	Midilli
20030	At
20031	Noel Baba
20032	Noel Aðacý
20033	Noel Aðacý
20034	Noel Aðacý
20035	Bayrak
20036	Bayrak
20037	Bayrak
20038	..
20039	.
20040	Emlakçý
20041	Sarhoþ
20042	Seyyar Satýcý
20043	.
20044	Silahçý, Stanley
20045	Zýrhçý, Stanton
20046	Kuyumcu, Starbuck
20047	Elmas Damarý
20048	Kehribar Damarý
20049	Fosil Tahta Damarý
20050	Bakyr Damarý
20051	Gümü? Damarý
20052	Altýn Damarý
20053	Yeþim Damarý
20054	Abanoz Damarý
20055	Midye Y???n?
20056	Beyaz Altýn Damarý
20057	Kristal Damarý
20058	Ametist Damarý
20059	Cennetin Gözyaþý Damarý
20060	Elmas Ýþleyici
20061	Kehribar Ýþleyici
20062	Fosil Odun Ýþleyici
20063	Bakyr Ýþleyici
20064	Gümü? Ýþleyici
20065	Altýn Ýþleyici
20066	Yeþim Ýþleyici
20067	Abanoz Ýþleyici
20068	Ynci Ýþleyici
20069	Beyaz Altýn Ýþleyici
20070	Kristal Ýþleyici
20071	Ametist Ýþleyici
20072	Cennet Gözyaþý Ýþleyici
20073	Eski Mühür
20074	Þ. Kulesi Silah Ustasý
20075	Þ. Kulesi Zýrh Ustasý
20076	Þeytan Kulesi Kuyumcusu
20077	Sunak Muhafýzý
20078	Sunak Muhafýzý
20079	Sunak Muhafýzý
20080	Eðitim Rehberi
20081	?al?nt? Ge?it Mühür?
20082	Usta
20083	Jegal-Tunseok
20084	Biyolog Chaegirab
20085	Jimjunja
20086	Handu-Up
20087	Wonda-Rim
20088	Shuk-Sal
20089	Pung-Ho
20090	Heuk-Yong
20091	Seon-Pyeong
20092	Hwa-Hee
20093	Koe-Pung
20094	Hong-Hae
20095	Seon-Hae
20096	??? ???
20097	Kale Giriþi
20098	Kale Giriþi
20099	Kale Giriþi
20101	Beyaz At
20102	Kahverengi At
20103	Siyah At
20104	Beyaz At
20105	Kahverengi At
20106	Siyah At
20107	Beyaz At
20108	Kahverengi At
20109	Siyah At
20110	Yaban Domuzu
20111	Kurt
20112	Kaplan
20113	Aslan
20114	white lion
20115	Savaþ Yaban Domuzu
20116	Kýzgýn Kurt
20117	Vahþi Kaplan
20118	Y?rt?c? Aslan
20119	Asil Kara Yaðýz At?
20120	?????
20121	?????
20122	?????
20123	?????
20124	?????
20125	?????
20126	Noel Baba
20201	??????
20202	??????
20203	?????
20204	???????
20205	?????? ??????
20206	?????? ??????
20207	?????? ?????
20208	?????? ???????
20209	?????? ??????
20210	?????? ??????
20211	?????? ?????
20212	?????? ???????
20213	?????????
20214	?????? ?????????
20215	?????? ?????????
20216	????????
20217	?????? ????????
20218	?????? ????????
20219	blackpony
20220	u???????? ????
20221	???????
20222	???????
20223	??????????
20224	?????? ??????????
20225	????? ??????????
20226	????????
20227	????????
20228	Àü°©¸ÍÁ¶
20229	l­ÆøÇÑ Àü°©¸ÍÁ¶
20230	zë¸ÍÇÑ Àü°©¸ÍÁ¶
20231	Àü°©Ècaü
20232	Àü°©Ç¥aü
20300	Bedensel Savaþ Öðretmeni
20301	Zihinsel Savaþ Öðretmeni
20302	Yakýn Dövüþ Öðretmeni
20303	Uzak Dövüþ Öðretmeni
20304	Büyülü Silah Öðretmeni
20305	Kara Büyü Öðretmeni
20306	Ejderha Gücü Öðretmeni
20307	Ýyileþtirme Öðretmeni
20320	Bedensel Savaþ Öðretmeni
20321	Zihinsel Savaþ Öðretmeni
20322	Yakýn Dövüþ Öðretmeni
20323	Uzak Dövüþ Öðretmeni
20324	Büyülü Silah Öðretmeni
20325	Kara Büyü Öðretmeni
20326	Ejderha Gücü Öðretmeni
20327	Ýyileþtirme Öðretmeni
20340	Bedensel Savaþ Öðretmeni
20341	Zihinsel Savaþ Öðretmeni
20342	Yakýn Dövüþ Öðretmeni
20343	Uzak Dövüþ Öðretmeni
20344	Büyülü Silah Öðretmeni
20345	Kara Büyü Öðretmeni
20346	Ejderha Gücü Öðretmeni
20347	Ýyileþtirme Öðretmeni
20348	Þeytan Kulesi Bekçisi
20349	Seyis
20350	Zindan Bekçisi
20351	Salon Bekçisi
20352	Hasun TAç Anýtý
20353	Seul Rong TAç Anýtý
20354	?ehir Bekçisi
20355	Yüzbaþý
20356	Ginseng ToplAyýc?s?
20357	Weol Anýtý
20358	Ýsimsiz Çiçekler
20359	Eski Kutu ile KAç?tlar
20360	Wha Anýtý
20361	Su Anýtý
20362	Mok Anýtý
20363	Gum Anýtý
20364	Nakajima
20365	To Anýtý
20366	Sa-Soe
20367	Þeytan Mezarlýðý Bekçisi
20368	Seyyar Satýcý
20369	Lee Chung
20370	Zehirlenen Asker
20371	Eski Mezar Taþý
20372	Aç?nm?? TAç Levha
20373	Koruma G?revlisi
20374	Bekçi
20375	Ahþap Barikat
20376	Kim Rim
20377	Yak-Hwan
20378	Amiral Angmur
20379	Yaraly Asker
20380	Yon-I Gezgini
20381	Konfüçyus
20382	Kaya Ýþleyici
20383	Jae-Seon Kim
20384	Noel Aðacý
20385	Am-heh YuTaþý
20386	?sfet Steli
20387	Kader Kilidi
20388	Ejderha Kapýsý
20389	NoNAme
20390	Taramor Mezar Taþý
20391	G?ne? Bitkisi
20392	NoNAme
20393	Yaraly Asker
20394	Ateþ Diyarý Bekçis
20395	Buz Daðý Muhafýzý
20396	Àû¼ö»ó´Ü ÆÇ¸Åzø
20397	Buz Aslaný
20398	Arktos Küpü
20399	Kuzeyli Ejderha Sütunu
30000	????
30001	????
30101	Kud Heykeli
30102	Bazalt DikilitAç
30103	KaplumbAça Kayalýðý
30104	Runik Direði
30111	1. Lanet Kapýsý
30112	2. Lanet Kapýsý
30113	3. Lanet Kapýsý
30114	4. Lanet Kapýsý
30115	5. Lanet Kapýsý
30116	6. Lanet Kapýsý
30117	7. Lanet Kapýsý
30118	8. Lanet Kapýsý
30119	9. Lanet Kapýsý
30120	Bitki ?antas?
30121	Sura Ruhu
30122	Savaþçy Ruhu
30123	Karanlýk Tap?nak
30124	Sura-Ýskeleti 1
30125	Sura-Ýskeleti 2
30126	Sura-Ýskeleti 3
30127	Sura-Ýskeleti 4
30128	Sura-Ýskeleti 5
30129	Paskalya Tavþaný
30130	Mezar Taþý
30301	Ruh Kristali Damarý
30302	Yakut Damarý
30303	Grena Damarý
30304	Zümrüt Damarý
30305	Safir Damarý
33001	?????? ???
33002	Tarihçi
33003	Niyetli Vatandaþ
33004	Niyetli Vatandaþ
33005	Niyetli Vatandaþ
33006	Niyetli Vatandaþ
33007	Niyetli Vatandaþ
33008	Jack Pumpkin
34001	phoenix1
34002	??? ???
34003	?????????
34004	???
34005	Porki
34006	Rufus
34007	Khan
34008	Leonidas
34009	???
34010	Bambi
34011	??? ???
34012	??? ???
34013	???????????????
34014	??????????????????
34015	?????????????
34016	???h???
34017	¾Æ±â Àü°©aézø
34018	¾Æ±â Àü°©aé¶û
34019	¾Æ±â Àü°©aéÈL
34020	¾Æ±â Àü°©aé»çÀÚ
34021	¾Æ±â ¸ÍÁ¶
34022	ºÎÈ°ÀyÅäl¢
34023	¾Æ±â Àü°©Ècaü
34024	test
